"user_id,n,sum,min,max"
"1000616411022294,1176,51715.010000000024,-71723.61,124159.94"
"1000616411022292,6676,-6857.350000000004,-20603.58,5657.69"
"1000616411022290,1314,2584.100000000002,-10269.15,19922.24"
"1000616411022284,1277,-26247.72999999999,-31937.47,17926.13"
"1000616411022280,1627,1776.1800000000094,-3014.52,292189.17"
"1000616411022277,2743,52634.38000000001,-16106.24,62641.31"
"1000616411022267,4542,-6587.990000000194,-57801.1,914080.25"
"1000616411022265,4074,-6835.509999999995,-7482.59,13260.07"
"1000616411022262,1528,-56110.899999999994,-66505.16,79707.26"
"1000616411022260,6788,160929.08000000002,-17742.78,255215.7"
"1000616411022258,173,-4432.470000000001,-4432.55,4287.2"
"1000616411022251,3897,331.6500000000008,-6372.02,19960.2"
"1000616411022233,1739,7206.589999999998,-14670.88,56656.06"
"1000616411022228,7687,69486.94999999987,-3377.34,255574.06"
"1000616411022224,1216,21475.020000000026,-2623.89,50755.88"
"1000616411022222,3552,61438.33,-22058.48,76889.9"
"1000616411022213,2151,-7071.709999999997,-8707.76,17368.89"
"1000616411022204,4470,11550.029999999995,-7624.17,15496.52"
"1000616411022185,5451,-40119.03000000001,-56477.76,63357.19"
"1000616411022173,1276,152441.77,-31238.86,154141.96"
"1000616411022142,4959,-22462.730000000018,-25942.57,17546.17"
"1000616411022136,2240,-6748.599999999999,-8200.96,6357.53"
"1000616411022125,5927,-5919.2699999999795,-9193.65,7402.83"
"1000616411022117,1143,27827.389999999887,-1574.06,414957.55"
"1000616411022114,2719,315.03000000000065,-1646.75,13096.51"
"1000616411022105,1413,-11675.379999999996,-13574.55,2069.61"
"1000616411022098,4237,5125.610000000008,-8680.35,12114.62"
"1000616411022096,1346,-149159.10000000003,-676244.11,363.9"
"1000616411022095,3262,-266052.0499999999,-304084.07,333209.18"
"1000616411022088,3929,-13757.159999999996,-30611.76,12042.57"
"1000616411022086,5468,43433.88999999998,-44.75,116515.04"
"1000616411022471,158,41949.62,-2076.85,52413.8"
"1000616411022452,3214,-2870.580000000002,-5289.49,9081.49"
"1000616411022436,3464,-324162.7899999998,-497388.93,734445.95"
"1000616411022432,11422,-91427.6,-101923.93,196.7"
"1000616411022421,5619,-7731.089999999997,-8749.34,28737.19"
"1000616411022419,7314,-9565.500000000015,-9994.16,37013.61"
"1000616411022415,2144,-19020.370000000006,-23326.89,133639.3"
"1000616411022413,3882,-57700.01999999995,-61217.8,34743.29"
"1000616411022410,2707,133286.99,-11952.34,139370.33"
"1000616411022401,4825,147.62000000000353,-8159.88,21667.04"
"1000616411022390,5976,-774.6799999999862,-5545.8,51255.51"
"1000616411022385,3586,-4134.380000000002,-37768.87,4074.24"
"1000616411022377,1957,626.1299999999994,-2013.51,20488.0"
"1000616411022370,7477,6879.879999999997,-1031.48,37749.11"
"1000616411022367,6152,240.41999999999962,-1602.94,16817.5"
"1000616411022366,8372,-6404.329999999934,-10625.88,264424.01"
"1000616411022362,4218,-3342.9400000000096,-24399.54,15170.3"
"1000616411022355,1203,-33700.73999999999,-37242.92,8163.34"
"1000616411022345,2708,35682.57,-368.59,38598.66"
"1000616411022344,6275,-11696.75,-11696.75,28868.04"
"1000616411022308,906,-64515.99000000002,-66010.66,18490.37"
"1000616411022301,5534,-49716.8699999998,-148283.91,789620.41"
"1000616411022299,300,17494.279999999995,-3695.93,61354.45"
"1000616411022294,587,40158.05999999999,-65820.2,103078.62"
"1000616411022651,1784,-23659.29,-32712.8,6300.45"
"1000616411022641,172,-10344.810000000001,-35299.9,37665.11"
"1000616411022640,577,-817.2199999999973,-8174.49,26898.52"
"1000616411022631,5441,-14424.900000000016,-17250.47,21878.28"
"1000616411022630,678,-1180.1200000000026,-10945.25,14801.94"
"1000616411022627,1467,66590.57999999973,-255599.98,4376905.77"
"1000616411022619,1746,-88402.10000000002,-189673.05,98001.14"
"1000616411022604,3117,-10630.350000000002,-14447.2,6892.49"
"1000616411022583,1545,-4219.900000000003,-5859.08,5157.46"
"1000616411022558,2277,-8427.669999999995,-11441.26,4059.25"
"1000616411022532,7323,11608.829999999998,-3594.36,30346.88"
"1000616411022531,5977,1761.290000000009,-12294.94,25685.34"
"1000616411022518,1678,1577.5400000000072,-8148.47,15209.0"
"1000616411022517,3581,-256531.34000000003,-317307.36,255059.94"
"1000616411022510,3677,-3418.8300000000045,-6418.21,1532.8"
"1000616411022505,9776,61048.859999999986,-61985.42,285595.63"
"1000616411022498,727,-16122.279999999993,-16122.28,49844.68"
"1000616411022495,10786,-18931.94999999999,-23263.12,18498.22"
"1000616411022493,8821,16212.460000000145,-87547.66,981124.64"
"1000616411022492,1155,-115763.30999999997,-115763.31,106063.72"
"1000616411022489,8643,-7879.069999999994,-8218.06,8973.49"
"1000616411022488,3775,475.6000000000015,-3729.62,4706.25"
"1000616411022485,3787,-18065.200000000063,-68893.91,27150.06"
"1000616411022475,4508,30485.590000000004,-9826.63,33968.89"
"1000616411022473,5894,-6899.229999999976,-33848.51,368252.3"
"1000616411022471,1088,50250.22,-9356.58,54348.19"
